"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
7735,12,3,2,1007,476,618,1,1,0,-4,-4,-4,-4,3,81,1,618,-4,1
7736,12,3,2,346,372,729,0,1,0,-4,-4,-4,-4,1,81,1,729,-4,1
7737,9,3,1,312,465,461,1,0,-4,-4,-4,-4,-4,11,81,1,461,480,1
7738,12,3,2,-4,350,345,0,1,0,-4,-4,-4,-4,10,81,1,345,350,0
7739,12,3,2,265,387,375,1,1,0,-4,-4,-4,-4,6,81,1,375,-4,1
7740,12,3,2,100,-4,-4,0,1,0,-4,-4,-4,-4,3,82,1,-4,-4,0
7741,9,3,1,-5,-4,-4,0,1,0,-4,-4,-4,-4,1,82,1,-4,-4,0
7742,9,3,1,348,558,-4,1,0,-4,-4,-4,-4,-4,3,81,1,-4,-4,1
7743,9,3,1,316,335,523,1,1,0,-4,-4,-4,-4,8,81,1,523,425,1
7744,9,3,1,-4,-4,450,0,1,1,1,375,1,2,6,81,1,450,-4,0
7745,12,3,2,416,750,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7746,12,3,2,-4,-4,1025,0,1,1,1,600,1,1,5,81,1,1025,-4,1
7747,12,3,2,200,496,610,1,1,0,-4,-4,-4,-4,2,81,1,610,-4,1
7748,11,1,1,-4,-4,-4,0,0,-4,-4,-4,-4,-4,10,81,1,-4,-4,1
7749,11,1,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7750,14,1,2,348,525,655,0,1,0,-4,-4,-4,-4,3,81,1,655,-4,1
7751,12,3,2,465,775,525,0,1,1,1,-4,7,1,3,82,1,525,-4,1
7752,9,3,1,325,899,767,0,1,0,-4,-4,-4,-4,3,81,1,767,-4,1
7753,10,2,1,501,823,1177,0,1,0,-4,-4,-4,-4,3,81,1,1177,-4,1
7754,13,2,2,306,555,594,0,1,1,2,120000,5,3,3,81,1,594,-4,1
7755,12,3,2,937,769,913,0,1,1,3,1600000,6,10,2,81,1,913,-4,1
7756,12,3,2,436,435,650,0,0,-4,-4,-4,-4,-4,2,81,1,650,-4,1
7757,12,3,2,416,465,662,1,1,0,-4,-4,-4,-4,1,81,1,662,-4,1
7758,9,3,1,-4,-4,950,0,1,1,20,1200,1,2,9,81,1,950,550,1
7759,12,3,2,290,215,944,1,0,-4,-4,-4,-4,-4,8,81,1,944,-4,1
7760,14,1,2,-4,468,697,0,1,0,-4,-4,-4,-4,2,81,1,697,-4,1
7761,12,3,2,-4,-4,599,0,1,1,4,1250000,6,9,8,81,1,599,-4,1
7762,9,3,1,-4,-4,865,1,1,1,1,1800000,6,10,1,82,1,865,450,1
7763,9,3,1,857,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7764,12,3,2,500,-4,837,0,1,1,2,1500000,6,10,8,81,1,837,-4,1
7765,12,3,2,355,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7766,9,3,1,310,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7767,9,3,1,400,-4,711,0,1,1,3,1200,1,8,3,81,1,711,-4,1
7768,9,3,1,-4,470,494,1,1,0,-4,-4,-4,-4,9,81,1,494,335,1
7769,9,3,1,580,673,769,0,0,-4,-4,-4,-4,-4,2,81,1,769,-4,1
7770,9,3,1,340,447,976,0,1,0,-4,-4,-4,-4,2,81,1,976,297,1
7771,12,3,2,433,500,491,1,1,1,3,1100000,6,3,2,81,1,491,850,1
7772,12,3,2,775,512,656,1,1,0,-4,-4,-4,-4,2,81,1,656,-4,1
7773,13,2,2,267,348,335,1,1,0,-4,-4,-4,-4,2,82,1,335,-4,1
7774,13,2,2,425,666,625,1,0,-4,-4,-4,-4,-4,3,81,1,625,-4,1
