case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
5296.0,1.0,3.0,1.0,345.0,281.0,y
5296.0,1.0,3.0,1.0,300.0,281.0,n
5387.0,5.0,3.0,2.0,335.0,254.0,y
5387.0,5.0,3.0,2.0,335.0,254.0,n
5388.0,5.0,3.0,2.0,335.0,310.0,y
5388.0,5.0,3.0,2.0,335.0,310.0,n
5597.0,5.0,3.0,2.0,370.0,295.0,y
5597.0,5.0,3.0,2.0,365.0,295.0,n
5634.0,7.0,2.0,2.0,390.0,310.0,y
5634.0,7.0,2.0,2.0,335.0,310.0,n
5744.0,14.0,1.0,2.0,370.0,240.0,y
5744.0,14.0,1.0,2.0,310.0,240.0,n
5795.0,11.0,1.0,1.0,300.0,306.0,y
5795.0,11.0,1.0,1.0,450.0,306.0,n
5826.0,14.0,1.0,2.0,576.0,543.0,y
5826.0,14.0,1.0,2.0,600.0,543.0,n
5864.0,11.0,1.0,1.0,365.0,414.0,y
5864.0,11.0,1.0,1.0,405.0,414.0,n
5879.0,11.0,1.0,1.0,1150.0,536.0,y
5879.0,11.0,1.0,1.0,840.0,536.0,n
5949.0,10.0,2.0,1.0,528.0,400.0,y
5949.0,10.0,2.0,1.0,275.0,400.0,n
6001.0,10.0,2.0,1.0,335.0,811.0,y
6001.0,10.0,2.0,1.0,335.0,811.0,n
6166.0,10.0,2.0,1.0,576.0,325.0,y
6166.0,10.0,2.0,1.0,325.0,325.0,n
6186.0,10.0,2.0,1.0,700.0,355.0,y
6186.0,10.0,2.0,1.0,675.0,355.0,n
6237.0,13.0,2.0,2.0,335.0,345.0,y
6237.0,13.0,2.0,2.0,335.0,345.0,n
6285.0,3.0,2.0,1.0,581.0,445.0,y
6285.0,3.0,2.0,1.0,625.0,445.0,n
6446.0,9.0,3.0,1.0,629.0,483.0,y
6446.0,9.0,3.0,1.0,500.0,483.0,n
6728.0,10.0,2.0,1.0,209.0,165.0,y
6728.0,10.0,2.0,1.0,325.0,165.0,n
6751.0,10.0,2.0,1.0,504.0,333.0,y
6751.0,10.0,2.0,1.0,335.0,333.0,n
6813.0,10.0,2.0,1.0,401.0,398.0,y
6813.0,10.0,2.0,1.0,300.0,398.0,n
6839.0,13.0,2.0,2.0,335.0,310.0,y
6839.0,13.0,2.0,2.0,400.0,310.0,n
6872.0,10.0,2.0,1.0,576.0,525.0,y
6872.0,10.0,2.0,1.0,335.0,525.0,n
6877.0,14.0,1.0,2.0,540.0,432.0,y
6877.0,14.0,1.0,2.0,350.0,432.0,n
6954.0,11.0,1.0,1.0,998.0,605.0,y
6954.0,11.0,1.0,1.0,300.0,605.0,n
6992.0,13.0,2.0,2.0,360.0,175.0,y
6992.0,13.0,2.0,2.0,335.0,175.0,n
7006.0,12.0,3.0,2.0,315.0,351.0,y
7006.0,12.0,3.0,2.0,335.0,351.0,n
7021.0,12.0,3.0,2.0,335.0,330.0,y
7021.0,12.0,3.0,2.0,400.0,330.0,n
7026.0,9.0,3.0,1.0,335.0,200.0,y
7026.0,9.0,3.0,1.0,335.0,200.0,n
7043.0,9.0,3.0,1.0,680.0,473.0,y
7043.0,9.0,3.0,1.0,450.0,473.0,n
7045.0,12.0,3.0,2.0,531.0,455.0,y
7045.0,12.0,3.0,2.0,305.0,455.0,n
7097.0,13.0,2.0,2.0,340.0,320.0,y
7097.0,13.0,2.0,2.0,335.0,320.0,n
7298.0,10.0,2.0,1.0,531.0,2500.0,y
7298.0,10.0,2.0,1.0,330.0,2500.0,n
7608.0,10.0,2.0,1.0,400.0,312.0,y
7608.0,10.0,2.0,1.0,335.0,312.0,n
7633.0,10.0,2.0,1.0,340.0,2000.0,y
