case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
9651.0,11.0,1.0,1.0,560.0,285.0,y
9651.0,11.0,1.0,1.0,365.0,285.0,n
9709.0,12.0,3.0,2.0,705.0,421.0,y
9709.0,12.0,3.0,2.0,186.0,421.0,n
9759.0,13.0,2.0,2.0,400.0,335.0,y
9759.0,13.0,2.0,2.0,345.0,335.0,n
9868.0,11.0,1.0,1.0,450.0,375.0,y
9868.0,11.0,1.0,1.0,365.0,375.0,n
9886.0,11.0,1.0,1.0,436.0,250.0,y
9886.0,11.0,1.0,1.0,375.0,250.0,n
10110.0,9.0,3.0,1.0,335.0,142.0,y
10110.0,9.0,3.0,1.0,335.0,142.0,n
10120.0,9.0,3.0,1.0,350.0,345.0,y
10120.0,9.0,3.0,1.0,365.0,345.0,n
10146.0,9.0,3.0,1.0,506.0,425.0,y
10146.0,9.0,3.0,1.0,425.0,425.0,n
10251.0,9.0,3.0,1.0,444.0,132.0,y
10251.0,9.0,3.0,1.0,310.0,132.0,n
10262.0,12.0,3.0,2.0,500.0,281.0,y
10262.0,12.0,3.0,2.0,500.0,281.0,n
10395.0,12.0,3.0,2.0,619.0,544.0,y
10395.0,12.0,3.0,2.0,865.3846153846154,544.0,n
10469.0,10.0,2.0,1.0,500.0,500.0,y
10469.0,10.0,2.0,1.0,375.0,500.0,n
10573.0,14.0,1.0,2.0,825.0,500.0,y
10573.0,14.0,1.0,2.0,335.0,500.0,n
10588.0,12.0,3.0,2.0,556.0,335.0,y
10588.0,12.0,3.0,2.0,335.0,335.0,n
10666.0,16.0,2.0,1.0,350.0,600.0,y
10666.0,16.0,2.0,1.0,550.0,600.0,n
10712.0,19.0,2.0,2.0,335.0,333.0,y
10712.0,19.0,2.0,2.0,375.0,333.0,n
10720.0,18.0,3.0,2.0,200.0,350.0,y
10720.0,18.0,3.0,2.0,200.0,350.0,n
10736.0,18.0,3.0,2.0,365.0,365.0,y
10736.0,18.0,3.0,2.0,500.0,365.0,n
10846.0,15.0,3.0,1.0,550.0,625.0,y
10846.0,15.0,3.0,1.0,550.0,625.0,n
10929.0,18.0,3.0,2.0,397.0,325.0,y
10929.0,18.0,3.0,2.0,300.0,325.0,n
10958.0,19.0,2.0,2.0,345.0,465.0,y
10958.0,19.0,2.0,2.0,345.0,465.0,n
10987.0,18.0,3.0,2.0,333.0,314.0,y
10987.0,18.0,3.0,2.0,335.0,314.0,n
11100.0,19.0,2.0,2.0,777.0,775.0,y
11100.0,19.0,2.0,2.0,800.0,775.0,n
